|        1 | C0278261 | -plasty                                                                | 2001-2005  |
|        1 | C0045883 | 2-aminofluorene                                                        | 1991-1995  |
|        1 | C0047506 | 3-Iodobenzylguanidine                                                  | 2011-2013  |
|        1 | C0547070 | Ablation                                                               | 1980-1985  |
|        7 | C0547070 | Ablation                                                               | 1991-1995  |
|       58 | C0547070 | Ablation                                                               | 1996-2000  |
|      198 | C0547070 | Ablation                                                               | 2001-2005  |
|      391 | C0547070 | Ablation                                                               | 2006-2010  |
|      359 | C0547070 | Ablation                                                               | 2011-2013  |
|        1 | C0877859 | Ablation Catheters                                                     | 1996-2000  |
|        1 | C0877859 | Ablation Catheters                                                     | 2001-2005  |
|        3 | C0877859 | Ablation Catheters                                                     | 2006-2010  |
|        1 | C0877859 | Ablation Catheters                                                     | 2011-2013  |
|        1 | C0000956 | Acenocoumarol                                                          | 1996-2000  |
|        2 | C0000956 | Acenocoumarol                                                          | 2001-2005  |
|        3 | C0000956 | Acenocoumarol                                                          | 2006-2010  |
|        6 | C0000956 | Acenocoumarol                                                          | 2011-2013  |
|        1 | C0050465 | acetovanillone                                                         | 2006-2010  |
|        1 | C0394664 | Acupuncture procedure                                                  | 2011-2013  |
|        1 | C0001443 | Adenosine                                                              | 1991-1995  |
|        4 | C0001443 | Adenosine                                                              | 1996-2000  |
|        1 | C0001443 | Adenosine                                                              | 2011-2013  |
|        1 | C1373149 | Adenosine Diphosphate Receptor Inhibitors                              | 1996-2000  |
|        1 | C0456081 | Adjustment Action                                                      | 2011-2013  |
|        1 | C0677850 | adjuvant therapy                                                       | 2006-2010  |
|        1 | C0001563 | Administration, Oral                                                   | 2001-2005  |
|        1 | C0001617 | Adrenal Cortex Hormones                                                | 2011-2013  |
|        1 | C0001645 | Adrenergic beta-Antagonists                                            | 1986-1990  |
|        3 | C0001645 | Adrenergic beta-Antagonists                                            | 1991-1995  |
|        4 | C0001645 | Adrenergic beta-Antagonists                                            | 1996-2000  |
|       11 | C0001645 | Adrenergic beta-Antagonists                                            | 2001-2005  |
