|        1 | C0278261 | -plasty                                                                                 | 2001-2005  |
|        1 | C0278261 | -plasty                                                                                 | 2006-2010  |
|        1 | C0044008 | 1,4-dihydro-2,6-dimethyl-4-(3-nitrophenyl)-3,5-pyridinedicarboxylic acid dimethyl ester | 1986-1990  |
|        1 | C0088953 | 1-(N-(2-hydroxy-5-azidobenzoyl)-2-aminoethyl)-4-(N-hydroxysuccinimidyl)succinate        | 2011-2013  |
|        1 | C0950720 | 15 AU81                                                                                 | 1991-1995  |
|        1 | C0289779 | 2,4-thiazolidinedione                                                                   | 2006-2010  |
|        2 | C1137019 | 2-methyl-5,6,7,8-tetrahydro-6-(methylamino)-1,2-naphthalenediyl ester hydrochloride     | 2006-2010  |
|        1 | C0535968 | 25-hydroxyvitamin D                                                                     | 2006-2010  |
|        3 | C0047115 | 3-(2,2,2-trimethylhydrazine)propionate                                                  | 1986-1990  |
|        2 | C0047115 | 3-(2,2,2-trimethylhydrazine)propionate                                                  | 2006-2010  |
|        1 | C0047115 | 3-(2,2,2-trimethylhydrazine)propionate                                                  | 2011-2013  |
|        6 | C0047506 | 3-Iodobenzylguanidine                                                                   | 1991-1995  |
|        8 | C0047506 | 3-Iodobenzylguanidine                                                                   | 1996-2000  |
|       10 | C0047506 | 3-Iodobenzylguanidine                                                                   | 2001-2005  |
|        7 | C0047506 | 3-Iodobenzylguanidine                                                                   | 2006-2010  |
|       10 | C0047506 | 3-Iodobenzylguanidine                                                                   | 2011-2013  |
|        1 | C0000473 | 4-Aminobenzoic Acid                                                                     | 2006-2010  |
|        1 | C0000477 | 4-Aminopyridine                                                                         | 1996-2000  |
|        1 | C0048897 | 5,6,7,8-tetrahydrobiopterin                                                             | 2001-2005  |
|        1 | C0216139 | A 81988                                                                                 | 1996-2000  |
|        1 | C0663655 | abacavir                                                                                | 2011-2013  |
|        1 | C0547070 | Ablation                                                                                | 1980-1985  |
|        1 | C0547070 | Ablation                                                                                | 1991-1995  |
|        4 | C0547070 | Ablation                                                                                | 1996-2000  |
|        5 | C0547070 | Ablation                                                                                | 2001-2005  |
|       10 | C0547070 | Ablation                                                                                | 2006-2010  |
|       14 | C0547070 | Ablation                                                                                | 2011-2013  |
|        1 | C0051027 | acadesine                                                                               | 1996-2000  |
|        4 | C0178951 | Accelerometers                                                                          | 2011-2013  |
|        1 | C0591029 | Accupro                                                                                 | 2001-2005  |
|        3 | C0000970 | Acetaminophen                                                                           | 1980-1985  |
|        1 | C0000970 | Acetaminophen                                                                           | 2001-2005  |
|        1 | C0000981 | Acetazolamide                                                                           | 2011-2013  |
|        1 | C0050451 | acetohydroxamic acid                                                                    | 2006-2010  |
|        1 | C0001002 | Acetone                                                                                 | 1991-1995  |
|        2 | C0001002 | Acetone                                                                                 | 2011-2013  |
|        6 | C0526098 | acetorphan, (S)-isomer                                                                  | 1996-2000  |
|        1 | C0524474 | Acetyl-L-Carnitine                                                                      | 2011-2013  |
|        1 | C0001041 | Acetylcholine                                                                           | 1980-1985  |
|       14 | C0001041 | Acetylcholine                                                                           | 1991-1995  |
|        7 | C0001041 | Acetylcholine                                                                           | 1996-2000  |
|        1 | C0001041 | Acetylcholine                                                                           | 2001-2005  |
|        3 | C0001041 | Acetylcholine                                                                           | 2006-2010  |
|        1 | C0001047 | Acetylcysteine                                                                          | 1996-2000  |
|        1 | C0001157 | Aconite                                                                                 | 2011-2013  |
|        3 | C1531698 | Active monitoring                                                                       | 2006-2010  |
|        1 | C0050668 | Activins                                                                                | 2001-2005  |
|        3 | C0050668 | Activins                                                                                | 2011-2013  |
|        2 | C0001288 | Activities of Daily Living                                                              | 2006-2010  |
|        3 | C0001288 | Activities of Daily Living                                                              | 2011-2013  |
|        1 | C0394664 | Acupuncture procedure                                                                   | 1991-1995  |
|        4 | C0394664 | Acupuncture procedure                                                                   | 2001-2005  |
|        1 | C0394664 | Acupuncture procedure                                                                   | 2006-2010  |
|        1 | C0394664 | Acupuncture procedure                                                                   | 2011-2013  |
|        1 | C0679878 | acute care                                                                              | 1996-2000  |
|        1 | C0679878 | acute care                                                                              | 2001-2005  |
|        1 | C0679878 | acute care                                                                              | 2006-2010  |
|        1 | C0001413 | Adenine Nucleotides                                                                     | 1991-1995  |
|        1 | C0001443 | Adenosine                                                                               | 1991-1995  |
|        2 | C0001443 | Adenosine                                                                               | 1996-2000  |
|        4 | C0001443 | Adenosine                                                                               | 2001-2005  |
|        4 | C0001443 | Adenosine                                                                               | 2006-2010  |
|        2 | C0001443 | Adenosine                                                                               | 2011-2013  |
|        3 | C0815050 | adenosine receptor antagonist                                                           | 2006-2010  |
|        1 | C0815050 | adenosine receptor antagonist                                                           | 2011-2013  |
|        1 | C0001480 | Adenosine Triphosphate                                                                  | 2001-2005  |
|        1 | C0001480 | Adenosine Triphosphate                                                                  | 2011-2013  |
